codigo;nome;fonte
"RETOQ";"RETOQUE PINTURA 1";"PC Factory D0021 - Recurso"
"RETOQ1";"RETOQUE";"PC Factory D0021 - Recurso"
"RETR";"RETRABALHO";"PC Factory D0021 - Recurso"
"RETRABALHO";"RETRABALHO";"PC Factory D0021 - Recurso"
"ROBO P";"SOLDA ROBO CHASSI PRIME";"PC Factory D0021 - Recurso"
"ROBO S";"SOLDA ROBO CHASSI S";"PC Factory D0021 - Recurso"
"ROSQU";"TAKT2";"PC Factory D0021 - Recurso"
"S ART";"SOLDA ARTICULAÇÃO LAMINA";"PC Factory D0021 - Recurso"
"S ARTL";"solda art lamina 710";"PC Factory D0021 - Recurso"
"S CAB";"SOLDA CABEÇALHO 710";"PC Factory D0021 - Recurso"
"S CEN";"SOLDA CENTRAL 710";"PC Factory D0021 - Recurso"
"S EIX";"SOLDA EIXO TRASEIRO 710";"PC Factory D0021 - Recurso"
"S INT";"SOLDA INTERMEDIÁRIA 710";"PC Factory D0021 - Recurso"
"S PRI";"SOLDA PRINCIPAL 710";"PC Factory D0021 - Recurso"
"S TUB7";"SOLDA TUBOS 710";"PC Factory D0021 - Recurso"
"S102";"SOL.102";"PC Factory D0021 - Recurso"
"S210";"SOL.210";"PC Factory D0021 - Recurso"
"SARCG";"SOLD. ARTICULAÇÃO RODADO";"PC Factory D0021 - Recurso"
"SART";"Solda Articulação 710";"PC Factory D0021 - Recurso"
"SART3";"SOL.ART.310";"PC Factory D0021 - Recurso"
"SART5";"SOLDA.ART.510";"PC Factory D0021 - Recurso"
"SARTT";"SOL.ART.TRASEIRA.710";"PC Factory D0021 - Recurso"
"SB7";"SOL.BOSCH";"PC Factory D0021 - Recurso"
"SBCG";"SOLD. BASE TANQUE";"PC Factory D0021 - Recurso"
"SBTCG";"SOLD. BARRA DE TRAÇÃO";"PC Factory D0021 - Recurso"
"SC3";"SOL.CAB.310";"PC Factory D0021 - Recurso"
"SCAB7";"SOL.CAB.710";"PC Factory D0021 - Recurso"
"SCC";"SOL.CENTRAL CHASSI.P";"PC Factory D0021 - Recurso"
"SCCG";"SOLD.COMPORTA";"PC Factory D0021 - Recurso"
"SCCG8";"SOLD.CAPELA";"PC Factory D0021 - Recurso"
"SCCGmm";"SOLD.CABECALHO UPGRAIN";"PC Factory D0021 - Recurso"
"SCCT";"SOL.CHA.CENTRAL.TILLER";"PC Factory D0021 - Recurso"
"SCDT";"SOL.CHA.DIR.TILLER";"PC Factory D0021 - Recurso"
"SCET";"SOL.CHA.ESQ.TILLER";"PC Factory D0021 - Recurso"
"SCFT";"SOL.CAB.FRONTAL.TILLER";"PC Factory D0021 - Recurso"
"SCGm8";"SOLD.TANQUE";"PC Factory D0021 - Recurso"
"SCHAC";"SOL.CHASSI.CENTRAL.710";"PC Factory D0021 - Recurso"
"SCINT";"SOL.CHASSI.INTE.710";"PC Factory D0021 - Recurso"
"SCLCGm";"SOL.CHAPAS LATERAIS";"PC Factory D0021 - Recurso"
"SCLV";"SOL.LATERAIS.VELLOX";"PC Factory D0021 - Recurso"
"SCP";"SOL.CHAS.PRODUTIVA";"PC Factory D0021 - Recurso"
"SCPRI";"SOL.CHASSI.PRINC.710";"PC Factory D0021 - Recurso"
"SCRLP";"SOL.COLUNA.DIR.ESQ";"PC Factory D0021 - Recurso"
"SCSAP";"SOL. ACOPLA.PADRAO";"PC Factory D0021 - Recurso"
"SCTT";"SOL.CABECALHO TRASEIRO.TILLER";"PC Factory D0021 - Recurso"
"SCV";"SOL.COLUNAS.VELLOX";"PC Factory D0021 - Recurso"
"SDSR";"SOL.DSR";"PC Factory D0021 - Recurso"
"SDUO";"SOL.DUO";"PC Factory D0021 - Recurso"
"SDXS";"SOL.DRS";"PC Factory D0021 - Recurso"
"SE5";"SOL.EIXO.510";"PC Factory D0021 - Recurso"
"SECCG";"S.CONJ.SOLD. EIXO CENTRAL";"PC Factory D0021 - Recurso"
"SEIXO";"SOLDA EIXO CARRETA";"PC Factory D0021 - Recurso"
"SEIXO3";"SOL.EIXO.310";"PC Factory D0021 - Recurso"
"SEIXO7";"SOL.EIXO.710";"PC Factory D0021 - Recurso"
"SENGC";"SOL.ENG.CAB.710";"PC Factory D0021 - Recurso"
"SENSOR";"SENSOR";"PC Factory D0021 - Recurso"
"SEP01";"SEPARADOR 1";"PC Factory D0021 - Recurso"
"SEP02";"SEPARAÇÃO 02";"PC Factory D0021 - Recurso"
"SEP03";"SEPARAÇÃO 03";"PC Factory D0021 - Recurso"
"SERRA1";"SERRA STARRET S4220";"PC Factory D0021 - Recurso"
"SERRA2";"SERRA STRONG SFHA10";"PC Factory D0021 - Recurso"
"SERRA3";"SERRA FRANHO RF-420";"PC Factory D0021 - Recurso"
"SERRA5";"SERRA STRONG SFDC13";"PC Factory D0021 - Recurso"
"SERVGE";"SERVIÇOS GERAIS";"PC Factory D0021 - Recurso"
"SF5";"SOLDA.FRONTAL.510";"PC Factory D0021 - Recurso"
"SGCG";"S.Grades";"PC Factory D0021 - Recurso"
"SISHID";"MONT SISTEMA HIDR";"PC Factory D0021 - Recurso"
"SL3";"SOL.LAMINA.310";"PC Factory D0021 - Recurso"
"SL5";"SOLDA.LAMINA.510";"PC Factory D0021 - Recurso"
"SLCG";"SOLD. LANÇA";"PC Factory D0021 - Recurso"
"SLRL";"SOL.LATERAL.ESQ.DIR";"PC Factory D0021 - Recurso"
"SM.ADE";"MONTAGEM ADESIVOS";"PC Factory D0021 - Recurso"
"SM.ELE";"MONTAGEM ELETRODUTOS";"PC Factory D0021 - Recurso"
"SM.LIN";"MONTAGEM LINHAS";"PC Factory D0021 - Recurso"
"SM.PRE";"PRE MONT LINHAS";"PC Factory D0021 - Recurso"
"SM.ROD";"MONTAGEM RODADO";"PC Factory D0021 - Recurso"
"SM.TAN";"MONTAGEM TANQUE";"PC Factory D0021 - Recurso"
"SMP";"SOL.MESA";"PC Factory D0021 - Recurso"
"SMRP";"SOL.MESA";"PC Factory D0021 - Recurso"
"SMSX";"Soldas Menores Serie X";"PC Factory D0021 - Recurso"
"SMTEST";"TESTE PROD/LUBRIF";"PC Factory D0021 - Recurso"
"SOL.1.V";"SOL.1.VELLOX";"PC Factory D0021 - Recurso"
"SOL.2.V";"SOL.2.VELLOX";"PC Factory D0021 - Recurso"
"SOLBER";"SOLDAGEM BERCO CARRETAS";"PC Factory D0021 - Recurso"
"SOLDA PM05";"ACABAMENTO PM05";"PC Factory D0021 - Recurso"
"SOLDA4";"SOLDAGEM";"PC Factory D0021 - Recurso"
"SOLTAN";"SOLDAGEM TANQUE CARRETA";"PC Factory D0021 - Recurso"
"SPB";"SOL.PÉ.BOSCH";"PC Factory D0021 - Recurso"
"SPC3";"SOL.PÉ.CABEÇALHO.310";"PC Factory D0021 - Recurso"
"SRD";"Solda Rolo Duo";"PC Factory D0021 - Recurso"
"SRDE";"SOL.RODA.DIR/ESQ.TILLER";"PC Factory D0021 - Recurso"
"SREDT";"SOL.RODA DIR/DIR.TILLER";"PC Factory D0021 - Recurso"
"SRT";"SOL.ROLO.TILLER";"PC Factory D0021 - Recurso"
"SRTB";"SOL.ROB.TUB.BOSCH.510";"PC Factory D0021 - Recurso"
"SRTCG";"S.CONJ.SOLD.RODADO TRASEIRO";"PC Factory D0021 - Recurso"
"SRTF";"SOL.ROB.TUB.FRONTAL.510";"PC Factory D0021 - Recurso"
"SRTPC3";"SOL.ROB.TUB.PE.CAB.310";"PC Factory D0021 - Recurso"
"SRTUBC";"SOL.ROB.TUB.CAB";"PC Factory D0021 - Recurso"
"SSDT";"SOL.SUPORTE.DISCO.TILLER";"PC Factory D0021 - Recurso"
"SSEDCG";"SOLD. SUPORTE EIXO DIRECIONAL";"PC Factory D0021 - Recurso"
"SSEDCGm";"SOL.SUPORTE EIXO DIANTEIRO";"PC Factory D0021 - Recurso"
"SSETCG";"SOL.SUPORTE EIXO TRASEIRO";"PC Factory D0021 - Recurso"
